Associate ID,Email triggered date
132232,2021-03-29
132256,2021-11-22
132258,2022-01-12
132280,2021-05-19
132300,2021-01-18
132362,2021-07-16
132471,2021-08-24
132516,2021-05-25
132637,2021-09-07
132694,2022-01-31
132728,2022-04-01
132746,2022-04-11
132750,2021-02-02
132770,2021-09-03
132813,2021-05-05
132826,2022-04-25
132829,2022-01-18
132846,2021-12-02
132855,2022-01-06
132875,2021-06-30
132944,2021-09-09
132953,2021-11-10
132977,2022-01-25
132982,2022-01-10
132985,2021-10-12
133051,2022-03-02
133064,2021-05-14
133078,2021-11-24
133096,2021-07-20
133113,2022-01-20
133114,2021-05-24
133192,2021-12-08
133200,2022-01-20
133211,2021-08-24
133272,2021-10-05
133298,2021-09-20
133323,2021-11-15
133357,2022-01-27
133404,2021-10-01
133417,2021-05-06
133428,2021-10-28
133432,2021-06-21
133534,2021-07-19
133665,2022-04-21
133799,2021-05-10
133853,2021-01-28
133857,2021-07-05
133873,2021-12-27
133879,2022-03-08
133880,2021-12-21
133895,2021-06-22
133905,2021-03-05
133947,2021-11-17
133953,2021-02-03
134000,2021-04-26
134128,2021-09-13
134155,2022-04-04
134181,2021-08-24
134251,2021-12-13
134256,2021-04-07
134276,2021-03-29
134291,2021-03-29
134307,2021-09-02
134315,2022-02-22
134322,2021-04-27
134354,2021-01-13
134382,2021-04-28
134470,2021-03-29
134472,2021-12-09
134502,2021-08-04
134553,2022-02-07
134584,2021-07-15
134628,2021-02-03
134704,2021-07-07
134716,2021-05-24
134720,2021-11-24
134751,2021-11-30
134875,2021-02-04
134905,2021-07-28
134920,2021-11-19
134972,2021-07-22
134987,2022-02-14
135001,2022-04-25
135048,2021-05-11
135115,2021-09-15
135130,2021-08-27
135174,2021-07-05
135254,2021-09-23
135270,2021-05-25
135280,2022-04-01
135346,2022-04-13
135355,2021-09-01
135356,2021-05-10
135369,2022-03-14
135396,2021-10-26
135424,2021-08-04
135560,2022-01-25
135602,2021-12-28
135629,2021-01-22
135700,2021-05-26
135762,2021-12-23
135840,2021-08-11
135874,2021-08-16
135919,2021-12-27
135932,2022-03-22
136025,2021-03-03
136106,2022-03-14
136169,2022-01-31
136264,2021-09-15
136278,2021-07-28
136332,2021-05-21
136379,2021-06-29
136469,2022-02-07
136499,2021-03-12
136514,2021-08-17
136578,2021-10-04
136594,2021-03-02
136688,2021-08-20
136733,2021-04-13
136744,2022-03-24
136769,2021-06-16
136811,2021-05-17
136812,2021-05-11
136865,2021-07-22
136878,2022-03-24
136934,2022-03-14
136937,2021-04-28
136951,2021-05-31
136986,2021-11-17
136989,2022-03-30
137005,2022-04-06
137008,2021-05-26
137059,2021-10-29
137105,2021-02-16
137180,2022-03-03
137207,2021-08-26
137257,2021-08-25
137262,2021-12-30
137297,2021-06-23
137322,2021-08-04
137352,2021-05-25
137366,2021-11-17
137379,2021-10-08
137383,2021-08-13
137410,2021-07-15
137415,2021-10-19
137492,2021-05-31
137495,2021-06-14
137507,2021-07-14
137528,2022-03-30
137530,2021-03-18
137578,2021-05-04
137589,2022-04-20
137596,2022-04-04
137633,2021-08-31
137643,2021-01-20
137852,2022-01-07
137904,2021-10-08
138033,2022-01-10
138088,2021-11-08
138108,2021-07-05
138134,2022-03-16
138140,2021-06-15
138195,2021-11-18
138209,2021-06-23
138229,2021-02-16
138400,2021-07-15
138407,2022-01-20
138459,2022-02-03
138463,2022-04-25
138479,2021-07-28
138488,2021-04-05
138512,2021-08-20
138516,2021-07-01
138549,2021-12-22
138563,2022-03-04
138651,2021-01-21
138652,2022-03-28
138695,2022-01-11
138793,2021-10-27
138816,2021-04-08
138897,2021-08-06
138994,2021-06-07
138996,2022-02-03
139062,2021-01-29
139076,2022-02-11
139113,2021-10-27
139296,2021-12-15
139349,2022-04-25
