Associate ID,Email triggered date
125028,18-Jan-22
125035,12-May-21
125077,25-May-21
125105,12-Nov-21
125106,18-Mar-22
125114,20-Oct-21
125131,08-Mar-22
125194,08-Oct-21
125224,31-Aug-21
125236,25-Aug-21
125265,05-Mar-21
125281,24-Nov-21
125305,29-Jul-21
125327,18-Nov-21
125356,03-Sep-21
125523,07-Dec-21
125579,06-Jul-21
125584,03-Aug-21
125592,08-Oct-21
125779,12-Jan-22
125806,29-Jul-21
125810,06-Jan-22
125820,01-Feb-21
125821,02-Mar-21
125834,22-Jul-21
125841,20-Jan-22
125847,03-Mar-21
125867,28-Feb-22
125879,18-Oct-21
125894,06-Aug-21
125949,29-Jul-21
126028,06-May-21
126102,03-Nov-21
126134,08-Dec-21
126146,02-Mar-21
126172,25-Apr-22
126173,14-Sep-21
126256,03-Aug-21
126310,02-Mar-21
126410,03-Aug-21
126422,03-Nov-21
126546,26-Apr-21
126585,16-Aug-21
126625,15-Jun-21
126703,14-Sep-21
126734,13-Apr-22
126763,05-Apr-21
126770,16-Aug-21
126784,31-May-21
126853,31-Mar-21
126868,04-Oct-21
126921,11-Mar-21
126928,29-Jan-21
126931,04-Apr-22
127111,19-Oct-21
127127,02-Aug-21
127148,07-Jul-21
127152,06-May-21
127182,03-Sep-21
127191,28-Sep-21
127307,16-Aug-21
127332,24-May-21
127340,23-Sep-21
127443,26-Nov-21
127591,27-Sep-21
127660,16-Apr-21
127830,14-Jul-21
127878,27-Jan-22
128017,10-Feb-22
128023,15-Apr-21
128143,08-Dec-21
128151,11-Jan-21
128160,21-Apr-21
128165,03-Sep-21
128176,08-Oct-21
128184,26-Apr-21
128252,18-Jan-22
128274,06-Sep-21
128427,21-Jul-21
128438,13-Apr-21
128537,14-Mar-22
128549,10-Aug-21
128581,29-Mar-21
128583,04-Jun-21
128631,17-May-21
128677,18-Aug-21
128772,02-Jun-21
128844,07-Mar-22
128847,02-Feb-21
128851,19-Jan-21
128880,21-Apr-22
128925,07-Jul-21
128943,24-Jan-22
128948,22-Sep-21
128988,14-Jun-21
129047,24-Dec-21
129079,23-Mar-21
129084,15-Jan-21
129146,13-Sep-21
129179,16-Apr-21
129183,05-Nov-21
129233,18-Mar-22
129449,23-Feb-21
129493,17-Aug-21
129526,28-Dec-21
129541,15-Nov-21
129547,06-Aug-21
129586,05-Jan-22
129637,24-Nov-21
129647,23-Jul-21
129655,13-Jul-21
129681,09-Aug-21
129689,23-Dec-21
129736,02-Jul-21
129770,02-Jul-21
129772,23-Mar-21
129806,08-Apr-22
129831,02-Nov-21
129838,16-Aug-21
129860,08-Oct-21
129966,17-Jan-22
130032,21-Apr-21
130044,29-Apr-21
130045,05-Aug-21
130110,28-Feb-22
130134,18-Mar-21
130191,03-Mar-22
130203,28-Jan-22
130217,25-Nov-21
130233,25-Apr-22
130242,25-Apr-22
130254,06-Jul-21
130302,02-Nov-21
130340,07-Apr-21
130373,28-Apr-21
130401,22-Nov-21
130473,04-Oct-21
130494,03-Feb-21
130675,05-Nov-21
130710,24-May-21
130762,10-Aug-21
130763,12-Apr-22
130766,21-Sep-21
130794,06-Jan-22
130831,07-Apr-22
130896,14-Feb-22
130924,02-Feb-21
130932,18-Feb-22
130962,07-May-21
130970,25-Aug-21
130978,12-Jul-21
131177,22-Apr-22
131190,19-Apr-21
131256,20-Apr-22
131262,24-Sep-21
131416,29-Jun-21
131426,14-Mar-22
131470,28-Mar-22
131491,23-Jun-21
131525,14-Mar-22
131552,31-May-21
131668,25-Apr-22
131715,27-Oct-21
131739,05-Nov-21
131794,21-Oct-21
131839,19-Nov-21
131840,12-Jul-21
131853,31-May-21
131855,23-Sep-21
131857,21-Mar-22
131872,11-Jan-21
131879,14-Jun-21
131916,24-Mar-22
131939,16-Sep-21
131942,15-Jul-21
131947,21-Jul-21
131979,21-Oct-21
132003,25-Jun-21
132009,05-Aug-21
132011,22-Jun-21
132025,17-Feb-22
132232,29-Mar-21
132256,22-Nov-21
132258,12-Jan-22
132280,19-May-21
132300,18-Jan-21
132362,16-Jul-21
132471,24-Aug-21
132516,25-May-21
132637,07-Sep-21
132694,31-Jan-22
132728,01-Apr-22
132746,11-Apr-22
132750,02-Feb-21
132770,03-Sep-21
132813,05-May-21
132826,25-Apr-22
132829,18-Jan-22
132846,02-Dec-21
132855,06-Jan-22
132875,30-Jun-21
132944,09-Sep-21
132953,10-Nov-21
132977,25-Jan-22
132982,10-Jan-22
132985,12-Oct-21
133051,02-Mar-22
133064,14-May-21
133078,24-Nov-21
133096,20-Jul-21
133113,20-Jan-22
133114,24-May-21
133192,08-Dec-21
133200,20-Jan-22
133211,24-Aug-21
133272,05-Oct-21
133298,20-Sep-21
133323,15-Nov-21
133357,27-Jan-22
133404,01-Oct-21
133417,06-May-21
133428,28-Oct-21
133432,21-Jun-21
133534,19-Jul-21
133665,21-Apr-22
133799,10-May-21
133853,28-Jan-21
133857,05-Jul-21
133873,27-Dec-21
133879,08-Mar-22
133880,21-Dec-21
133895,22-Jun-21
133905,05-Mar-21
133947,17-Nov-21
133953,03-Feb-21
134000,26-Apr-21
134128,13-Sep-21
134155,04-Apr-22
134181,24-Aug-21
134251,13-Dec-21
134256,07-Apr-21
134276,29-Mar-21
134291,29-Mar-21
134307,02-Sep-21
134315,22-Feb-22
134322,27-Apr-21
134354,13-Jan-21
134382,28-Apr-21
134470,29-Mar-21
134472,09-Dec-21
134502,04-Aug-21
134553,07-Feb-22
134584,15-Jul-21
134628,03-Feb-21
134704,07-Jul-21
134716,24-May-21
134720,24-Nov-21
134751,30-Nov-21
134875,04-Feb-21
134905,28-Jul-21
134920,19-Nov-21
134972,22-Jul-21
134987,14-Feb-22
135001,25-Apr-22
135048,11-May-21
135115,15-Sep-21
135130,27-Aug-21
135174,05-Jul-21
135254,23-Sep-21
135270,25-May-21
135280,01-Apr-22
135346,13-Apr-22
135355,01-Sep-21
135356,10-May-21
135369,14-Mar-22
135396,26-Oct-21
135424,04-Aug-21
135560,25-Jan-22
135602,28-Dec-21
135629,22-Jan-21
135700,26-May-21
135762,23-Dec-21
135840,11-Aug-21
135874,16-Aug-21
135919,27-Dec-21
135932,22-Mar-22
136025,03-Mar-21
136106,14-Mar-22
136169,31-Jan-22
136264,15-Sep-21
136278,28-Jul-21
136332,21-May-21
136379,29-Jun-21
136469,07-Feb-22
136499,12-Mar-21
136514,17-Aug-21
